year;iso;mode;SSP1_noCOVID;SSP2_noCOVID;SSP5_noCOVID;SSP1;SSP2;SSP5
2000;AIA;entrp_pass_lo;135.066203;135.066203;135.066203;135.066203;135.066203;135.066203
2005;AIA;entrp_pass_lo;154.1713951;154.1713951;154.1713951;154.1713951;154.1713951;154.1713951
2010;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2015;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2020;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2025;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2030;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2035;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2040;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2045;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2050;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2055;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2060;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2070;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2080;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2090;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2100;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2110;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2130;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
2150;AIA;entrp_pass_lo;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951;167.9695951
1965;ALA;entrp_pass_lo;1171.348249;1171.348249;1171.348249;1171.348249;1171.348249;1171.348249
1970;ALA;entrp_pass_lo;1153.762114;1153.762114;1153.762114;1153.762114;1153.762114;1153.762114
1975;ALA;entrp_pass_lo;1240.241235;1240.241235;1240.241235;1240.241235;1240.241235;1240.241235
1980;ALA;entrp_pass_lo;1267.094984;1267.094984;1267.094984;1267.094984;1267.094984;1267.094984
1985;ALA;entrp_pass_lo;1317.173597;1317.173597;1317.173597;1317.173597;1317.173597;1317.173597
1990;ALA;entrp_pass_lo;1363.232522;1363.232522;1363.232522;1363.232522;1363.232522;1363.232522
1995;ALA;entrp_pass_lo;1405.77422;1405.77422;1405.77422;1405.77422;1405.77422;1405.77422
2000;ALA;entrp_pass_lo;1437.094289;1437.094289;1437.094289;1437.094289;1437.094289;1437.094289
2005;ALA;entrp_pass_lo;1487.731192;1487.731192;1487.731192;1487.731192;1487.731192;1487.731192
2010;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2015;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2020;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2025;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2030;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2035;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2040;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2045;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2050;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2055;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2060;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2070;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2080;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2090;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
2100;ALA;entrp_pass_lo;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059;1556.010059
