year;sector;reference_demand_goessling et.al;reference_demand_JADC;reference AIM, SSP2;reference AIM, SSP1;reference AIM, SSP5
2049;trn_aviation_intl_d_B;;;;;
2049;trn_aviation_intl_d_L;;;;;
2049;trn_aviation_intl_L;;;;;
2050;trn_aviation_intl;34.247;;26.62662181;33.78516019;43.18901917
2050;trn_aviation_intl_B;;;;;
2050;trn_aviation_intl_d_B;;;;;
2050;trn_aviation_intl_d_L;;;;;
2050;trn_aviation_intl_L;;;;;
2051;trn_aviation_intl;;;;;
2051;trn_aviation_intl_B;;;;;
2051;trn_aviation_intl_d_B;;;;;
2051;trn_aviation_intl_d_L;;;;;
2051;trn_aviation_intl_L;;;;;
2052;trn_aviation_intl;;;;;
2052;trn_aviation_intl_B;;;;;
2052;trn_aviation_intl_d_B;;;;;
2052;trn_aviation_intl_d_L;;;;;
2052;trn_aviation_intl_L;;;;;
2053;trn_aviation_intl;;;;;
2053;trn_aviation_intl_B;;;;;
2053;trn_aviation_intl_d_B;;;;;
2053;trn_aviation_intl_d_L;;;;;
2053;trn_aviation_intl_L;;;;;
2054;trn_aviation_intl;;;;;
2054;trn_aviation_intl_B;;;;;
2054;trn_aviation_intl_d_B;;;;;
2054;trn_aviation_intl_d_L;;;;;
2054;trn_aviation_intl_L;;;;;
2055;trn_aviation_intl;;;;;
2055;trn_aviation_intl_B;;;;;
2055;trn_aviation_intl_d_B;;;;;
2055;trn_aviation_intl_d_L;;;;;
2055;trn_aviation_intl_L;;;;;
2056;trn_aviation_intl;;;;;
2056;trn_aviation_intl_B;;;;;
2056;trn_aviation_intl_d_B;;;;;
2056;trn_aviation_intl_d_L;;;;;
2056;trn_aviation_intl_L;;;;;
2057;trn_aviation_intl;;;;;
2057;trn_aviation_intl_B;;;;;
2057;trn_aviation_intl_d_B;;;;;
2057;trn_aviation_intl_d_L;;;;;
2057;trn_aviation_intl_L;;;;;
2058;trn_aviation_intl;;;;;
2058;trn_aviation_intl_B;;;;;
2058;trn_aviation_intl_d_B;;;;;
2058;trn_aviation_intl_d_L;;;;;
2058;trn_aviation_intl_L;;;;;
2059;trn_aviation_intl;;;;;
2059;trn_aviation_intl_B;;;;;
2059;trn_aviation_intl_d_B;;;;;
2059;trn_aviation_intl_d_L;;;;;
2059;trn_aviation_intl_L;;;;;
2060;trn_aviation_intl;;;;;
2060;trn_aviation_intl_B;;;;;
2060;trn_aviation_intl_d_B;;;;;
2060;trn_aviation_intl_d_L;;;;;
2060;trn_aviation_intl_L;;;;;
2061;trn_aviation_intl;;;;;
2061;trn_aviation_intl_B;;;;;
2061;trn_aviation_intl_d_B;;;;;
2061;trn_aviation_intl_d_L;;;;;
2061;trn_aviation_intl_L;;;;;
2062;trn_aviation_intl;;;;;
2062;trn_aviation_intl_B;;;;;
2062;trn_aviation_intl_d_B;;;;;
2062;trn_aviation_intl_d_L;;;;;
2062;trn_aviation_intl_L;;;;;
2063;trn_aviation_intl;;;;;
2063;trn_aviation_intl_B;;;;;
2063;trn_aviation_intl_d_B;;;;;
2063;trn_aviation_intl_d_L;;;;;
2063;trn_aviation_intl_L;;;;;
2064;trn_aviation_intl;;;;;
2064;trn_aviation_intl_B;;;;;
2064;trn_aviation_intl_d_B;;;;;
2064;trn_aviation_intl_d_L;;;;;
2064;trn_aviation_intl_L;;;;;
2065;trn_aviation_intl;;;;;
2065;trn_aviation_intl_B;;;;;
2065;trn_aviation_intl_d_B;;;;;
2065;trn_aviation_intl_d_L;;;;;
2065;trn_aviation_intl_L;;;;;
